ANZSCO_TITLE,2018,2019,2020,2021,Growth 2019 vs 2021,Growth 2018 vs 2021
Cafe Workers,300.9166666666667,282.9166666666667,199.5,346.0833333333333,22.326951399116332,15.009692605926322
Cafe and Restaurant Managers,443.1666666666667,439.9166666666667,334.1666666666667,621.5,41.27675696154574,40.24069198946972
Call or Contact Centre Workers,1942.25,1710.25,1169.6666666666667,2070.9166666666665,21.088534814598248,6.6246192131119335
Call or Contact Centre and Customer Service Managers,457.5,446.8333333333333,331.0,560.8333333333334,25.51286833271169,22.586520947176695
Canvas and Leather Goods Makers,3.0833333333333335,2.0,1.3333333333333333,2.8333333333333335,41.66666666666667,-8.108108108108107
Car Detailers,160.75,123.83333333333333,98.75,193.16666666666666,55.989232839838486,20.165889061689988
Caravan Park and Camping Ground Managers,9.666666666666666,11.583333333333334,9.916666666666666,15.416666666666666,33.0935251798561,59.48275862068966
Caretakers,94.5,103.66666666666667,73.75,122.33333333333333,18.006430868167193,29.453262786596113
Carpenters and Joiners,996.25,709.1666666666666,662.5,1237.0833333333333,74.44183313748532,24.173985780008355
Cartographers and Surveyors,377.0833333333333,306.9166666666667,252.5,409.3333333333333,33.369535704588635,8.552486187845304
Checkout Operators and Office Cashiers,50.75,60.083333333333336,66.58333333333333,155.16666666666666,158.25242718446597,205.74712643678157
Chefs,2232.0,2053.5,1601.25,3001.25,46.152909666423184,34.46460573476703
Chemical and Materials Engineers,32.416666666666664,33.083333333333336,24.5,38.916666666666664,17.632241813601997,20.051413881748072
"Chemical, Gas, Petroleum and Power Generation Plant Operators",50.416666666666664,51.916666666666664,40.75,51.333333333333336,-1.1235955056179685,1.818181818181828
"Chemists, and Food and Wine Scientists",117.33333333333333,126.5,112.58333333333333,214.83333333333334,69.82872200263506,83.09659090909093
Chief Executives and Managing Directors,345.4166666666667,344.3333333333333,275.8333333333333,416.8333333333333,21.055179090029043,20.67551266586247
Child Care Centre Managers,151.33333333333334,157.5,164.08333333333334,266.8333333333333,69.4179894179894,76.32158590308367
Child Carers,2361.0,2110.5,1580.4166666666667,2839.1666666666665,34.525783779515116,20.25271777495411
Chiropractors and Osteopaths,11.166666666666666,11.166666666666666,14.083333333333334,38.416666666666664,244.0298507462687,244.0298507462687
Civil Engineering Draftspersons and Technicians,274.0833333333333,224.91666666666666,150.33333333333334,268.8333333333333,19.525750277880693,-1.9154758285193068
Civil Engineering Professionals,2212.75,1955.0833333333333,1330.9166666666667,2098.5,7.33557819359789,-5.163258388882612
"Clay, Concrete, Glass and Stone Processing Machine Operators",3.1666666666666665,1.9166666666666667,2.75,4.083333333333333,113.04347826086953,28.947368421052627
Clothing Trades Workers,24.666666666666668,22.0,17.916666666666668,33.0,50.0,33.783783783783775
Commercial Cleaners,1106.5833333333333,1038.5833333333333,1167.4166666666667,2210.25,112.81392923052236,99.73642593568795
Complementary Health Therapists,44.333333333333336,37.25,34.416666666666664,55.25,48.322147651006716,24.624060150375936
Computer Network Professionals,570.3333333333334,537.25,399.0,511.25,-4.839460214053048,-10.3594389246055
Concreters,159.5,135.5,137.58333333333334,195.25,44.095940959409596,22.413793103448278
Conference and Event Organisers,415.9166666666667,408.75,182.08333333333334,395.9166666666667,-3.139653414882768,-4.808655580044079
Construction Managers,4377.666666666667,3794.0833333333335,2411.9166666666665,3772.4166666666665,-0.5710645961914464,-13.825858524328039
"Contract, Program and Project Administrators",2112.5833333333335,1965.3333333333333,1219.5833333333333,1990.3333333333333,1.2720488466757125,-5.786753974202211
Conveyancers and Legal Executives,368.4166666666667,315.25,239.91666666666666,410.75,30.2934179222839,11.490612983487893
Cooks,1338.5833333333333,1473.6666666666667,1238.0,2444.75,65.89572494910652,82.63711635435473
Corporate Services Managers,656.9166666666666,570.1666666666666,413.5,608.9166666666666,6.796258403975446,-7.30686286946594
Counsellors,283.3333333333333,316.3333333333333,326.6666666666667,508.5,60.74815595363542,79.47058823529413
Couriers and Postal Deliverers,376.6666666666667,297.25,216.41666666666666,414.5833333333333,39.47294645360246,10.066371681415918
Court and Legal Clerks,180.25,190.5,120.0,197.41666666666666,3.630796150481185,9.523809523809518
"Crane, Hoist and Lift Operators",232.08333333333334,199.25,170.91666666666666,289.9166666666667,45.50397323295693,24.919210053859967
Credit and Loans Officers,1213.75,1193.3333333333333,800.9166666666666,1357.4166666666667,13.750000000000012,11.836594576038454
Crop Farm Workers,136.58333333333334,124.75,159.16666666666666,352.4166666666667,182.49832999332,158.02318486882245
Crop Farmers,11.416666666666666,18.166666666666668,13.666666666666666,27.666666666666668,52.293577981651374,142.33576642335768
"Database and Systems Administrators, and ICT Security Specialists",756.6666666666666,808.0,625.6666666666666,928.0833333333334,14.861798679867992,22.654185022026443
Debt Collectors,191.5,211.33333333333334,111.33333333333333,144.5,-31.624605678233443,-24.54308093994778
Deck and Fishing Hands,31.416666666666668,30.0,21.916666666666668,39.916666666666664,33.05555555555555,27.055702917771875
Delivery Drivers,515.6666666666666,431.0833333333333,501.9166666666667,1094.25,153.83723178039824,112.2010342598578
Dental Assistants,483.0833333333333,500.4166666666667,521.6666666666666,747.8333333333334,49.44213155703581,54.804209073658804
"Dental Hygienists, Technicians and Therapists",107.16666666666667,114.5,128.5,213.16666666666666,86.17176128093158,98.91135303265939
Dental Practitioners,239.16666666666666,300.0833333333333,285.0833333333333,456.9166666666667,52.26326020549848,91.0452961672474
Dietitians,55.333333333333336,60.833333333333336,72.08333333333333,111.08333333333333,82.60273972602738,100.75301204819276
Diversional Therapists,39.916666666666664,48.0,46.333333333333336,76.75,59.895833333333336,92.27557411273487
Domestic Cleaners,18.666666666666668,27.666666666666668,59.666666666666664,149.0,438.55421686746985,698.2142857142858
"Drillers, Miners and Shot Firers",570.0,582.25,458.5833333333333,637.0,9.403177329325892,11.75438596491228
Driving Instructors,19.333333333333332,16.166666666666668,16.333333333333332,21.666666666666668,34.020618556701024,12.068965517241391
Early Childhood (Pre-primary School) Teachers,714.5,898.4166666666666,932.5,1449.9166666666667,61.385771264261216,102.9274550968043
Earthmoving Plant Operators,1084.5833333333333,950.8333333333334,952.5833333333334,1223.1666666666667,28.641542506573188,12.77756434882829
Economists,39.166666666666664,40.25,31.833333333333332,48.166666666666664,19.6687370600414,22.978723404255323
Education Advisers and Reviewers,38.25,40.833333333333336,35.75,56.416666666666664,38.16326530612243,47.49455337690631
Education Aides,1250.75,1400.25,1152.6666666666667,1590.75,13.604713444027853,27.183689786128323
Electrical Distribution Trades Workers,64.5,59.083333333333336,64.16666666666667,101.66666666666667,72.07334273624824,57.62273901808786
Electrical Engineering Draftspersons and Technicians,124.16666666666667,118.16666666666667,86.0,131.83333333333334,11.565585331452755,6.1744966442953055
Electrical Engineers,372.8333333333333,367.0,248.16666666666666,364.9166666666667,-0.5676657584014481,-2.1233795261510853
Electricians,1992.5,1922.0833333333333,1450.9166666666667,2421.5,25.983091263819645,21.530740276035132
Electronic Engineering Draftspersons and Technicians,56.75,51.166666666666664,41.583333333333336,61.833333333333336,20.846905537459293,8.957415565345086
Electronics Engineers,51.583333333333336,44.833333333333336,37.0,57.583333333333336,28.438661710037174,11.631663974151857
Electronics Trades Workers,165.5,180.66666666666666,128.41666666666666,178.0,-1.4760147601475961,7.552870090634441
Engineering Managers,196.16666666666666,197.75,152.83333333333334,267.25,35.145385587863466,36.236193712829234
